Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"TP4056 1A Li-Ion Battery Charging Board","To charge the battery",1,0.17,https://robu.in/product/tp4056-1a-li-ion-battery-charging-board-micro-usb-with-current-protection-type-c-connector/,Robu.in
"1mm Pitch Pin headers","These are separate as the previous headers are not 1mm pitch pin headers.",1,0.21,https://robu.in/product/1-month-warranty-884/,Robu.in
"3.5mm Female Audio Jack Connector","to attach headphones",1,0.47,https://evelta.com/3-5mm-female-audio-jack-connector-6pin-1/,Evelta.com
"ADS1115IDGSR - 16-Bit ADC 2, 4 Input 1 Sigma-Delta IC VSSOP-10","to convert analog voltage signals into digital data",1,1.94,https://evelta.com/ads1115idgsr-16-bit-adc-2-4-input-1-sigma-delta-ic-vssop-10/,Evelta.com
"PS2 Game Joystick Module","For the Joysticks",2,0.82,https://www.flyrobo.in/ps2_game_joystick_module_for_arduino,FlyRobo
"Male and Female Header Connector Strip, Pack of 10, Breakable Strip","For the pin Headers (cheaper than buying each header individually)",1,1.27,https://www.amazon.in/gp/product/B0FQP3SN7H/ref=ox_sc_act_image_8?smid=ATNZHHWX66S9H&psc=1,Amazon
"SPDT Slide Switch Right Angle","To turn on and off",1,1.0,https://www.amazon.in/gp/product/B0B434R6QF/ref=ox_sc_act_image_7?smid=A2JDRZEGU1IDE2&psc=1,Amazon
"0.5Watt Power Audio Speaker","For sound",1,1.21,https://www.amazon.in/gp/product/B07MTK843Z/ref=ox_sc_act_image_6?smid=AJ6SIZC8YQDZX&psc=1,Amazon
"Isopropyl Alcohol","For cleaning board after soldering.",1,2.95,https://www.amazon.in/gp/product/B0DXLCF467/ref=ox_sc_act_image_5?smid=A66YHFPLB5NLO&th=1,Amazon
"Tactile Push Button Switch Caps","For buttons",1,2.34,https://www.amazon.in/gp/product/B0DCP7J7R7/ref=ox_sc_act_image_4?smid=AOG7U64E0DVL2&psc=1,Amazon
"Jumper Wires","For fine adjustment if required",1,1.66,https://www.amazon.in/gp/product/B0CPFCRCHB/ref=ox_sc_act_image_3?smid=AJ6SIZC8YQDZX&th=1,Amazon
"Solder","to solder",1,8.37,https://www.amazon.in/gp/product/B084RZWVXY/ref=ox_sc_act_image_2?smid=AVIYBMAJK8N56&th=1,Amazon
"Soldering Flux","Helping to solder.",1,0.84,https://www.amazon.in/gp/product/B0FV8HHBTN/ref=ox_sc_act_image_1?smid=A366YFPXO3CTI5&psc=1,Amazon
